Ticker,Strike,Type,Contract,Date,Open,High,Low,Close,Volume
AAPL,235,Call,O:AAPL260220C00235000,2025-12-17,43.9,43.9,40.5,40.5,72
AAPL,240,Call,O:AAPL260220C00240000,2025-12-17,38.9,39.15,36.6,36.6,37
AAPL,245,Call,O:AAPL260220C00245000,2025-12-17,34.4,35.0,32.39,33.0,30
AAPL,250,Call,O:AAPL260220C00250000,2025-12-17,29.9,30.0,27.6,27.71,153
AAPL,260,Call,O:AAPL260220C00260000,2025-12-17,21.95,21.95,19.6,19.6,120
AAPL,265,Call,O:AAPL260220C00265000,2025-12-17,18.0,18.6,15.85,15.85,132
AAPL,275,Call,O:AAPL260220C00275000,2025-12-17,11.83,12.25,10.0,10.05,1008
AAPL,280,Call,O:AAPL260220C00280000,2025-12-17,9.1,9.6,7.8,7.8,461
AAPL,290,Call,O:AAPL260220C00290000,2025-12-17,5.12,5.55,4.2,4.2,903
AAPL,295,Call,O:AAPL260220C00295000,2025-12-17,4.0,4.04,3.05,3.05,240
AAPL,300,Call,O:AAPL260220C00300000,2025-12-17,2.68,2.92,2.13,2.13,625
AAPL,305,Call,O:AAPL260220C00305000,2025-12-17,2.02,2.07,1.63,1.71,297
AAPL,235,Put,O:AAPL260220P00235000,2025-12-17,1.35,1.64,1.35,1.6,52
AAPL,240,Put,O:AAPL260220P00240000,2025-12-17,1.71,2.15,1.69,2.15,154
AAPL,245,Put,O:AAPL260220P00245000,2025-12-17,2.15,2.68,2.15,2.53,272
AAPL,250,Put,O:AAPL260220P00250000,2025-12-17,2.76,3.55,2.74,3.55,179
AAPL,260,Put,O:AAPL260220P00260000,2025-12-17,4.65,5.75,4.65,5.75,521
AAPL,265,Put,O:AAPL260220P00265000,2025-12-17,5.95,7.27,5.95,7.15,102
AAPL,275,Put,O:AAPL260220P00275000,2025-12-17,9.62,11.3,9.35,11.3,685
AAPL,280,Put,O:AAPL260220P00280000,2025-12-17,11.67,13.85,11.67,13.76,172
AAPL,290,Put,O:AAPL260220P00290000,2025-12-17,18.07,20.15,17.78,19.68,5
AAPL,295,Put,O:AAPL260220P00295000,2025-12-17,21.8,23.5,21.5,23.24,934
AAPL,300,Put,O:AAPL260220P00300000,2025-12-17,26.05,27.95,25.5,27.13,301
AAPL,305,Put,O:AAPL260220P00305000,2025-12-17,30.7,33.35,30.7,33.35,10
NVDA,150,Call,O:NVDA260220C00150000,2025-12-17,29.0,29.0,25.45,25.9,247
NVDA,155,Call,O:NVDA260220C00155000,2025-12-17,24.32,24.81,21.78,21.95,548
NVDA,150,Put,O:NVDA260220P00150000,2025-12-17,2.69,3.8,2.66,3.6,16792
NVDA,155,Put,O:NVDA260220P00155000,2025-12-17,3.65,5.05,3.6,4.81,934
SPY,585,Call,O:SPY260220C00585000,2025-12-17,92.9,93.05,92.9,93.05,18
SPY,600,Call,O:SPY260220C00600000,2025-12-17,83.73,84.88,78.2,79.01,54
SPY,615,Call,O:SPY260220C00615000,2025-12-17,69.01,69.01,64.58,64.62,4
SPY,630,Call,O:SPY260220C00630000,2025-12-17,56.68,56.68,51.53,51.64,23
SPY,645,Call,O:SPY260220C00645000,2025-12-17,40.72,40.72,38.65,39.18,6
SPY,695,Call,O:SPY260220C00695000,2025-12-17,9.76,9.76,6.69,7.02,722
SPY,710,Call,O:SPY260220C00710000,2025-12-17,4.32,4.36,2.72,2.92,1857
SPY,725,Call,O:SPY260220C00725000,2025-12-17,1.62,1.62,1.02,1.07,464
SPY,740,Call,O:SPY260220C00740000,2025-12-17,0.6,0.6,0.41,0.41,121
SPY,755,Call,O:SPY260220C00755000,2025-12-17,0.26,0.26,0.19,0.21,68
SPY,585,Put,O:SPY260220P00585000,2025-12-17,2.17,2.74,2.17,2.74,291
SPY,600,Put,O:SPY260220P00600000,2025-12-17,2.8,3.57,2.77,3.56,752
SPY,615,Put,O:SPY260220P00615000,2025-12-17,3.66,4.75,3.66,4.75,286
SPY,630,Put,O:SPY260220P00630000,2025-12-17,4.95,6.42,4.88,6.15,1196
SPY,645,Put,O:SPY260220P00645000,2025-12-17,6.78,8.52,6.65,8.52,905
SPY,695,Put,O:SPY260220P00695000,2025-12-17,22.37,26.96,22.37,26.96,25
SPY,710,Put,O:SPY260220P00710000,2025-12-17,39.5,40.0,39.5,39.67,7
SPY,725,Put,O:SPY260220P00725000,2025-12-17,54.42,54.42,54.42,54.42,1
